,Unnamed: 0,Solute,Solvent,pka
0,0, 9-COOMe-fluorene,DCE,58.1
1,1, (4-Me-C6F4)2CHCN,DCE,57.8
2,2, (4-Me-C6F4)(C6F5)CHCN,DCE,56.7
3,3, 9-CN-fluorene,DCE,55.9
4,4, (4-H-C6F4)(C6F5)CHCN,DCE,55.7
5,5, (4-Cl-C6F4)(C6F5)CHCN,DCE,54.7
6,6, (2-C10F7)(C6F5)CHCN,DCE,54.4
7,7, 9-C6F5-octafluorofluorene,DCE,53.8
8,8, (2-C10F7)2CHCN,DCE,53.4
9,9, (4-CF3-C6F4)(C6F5)CHCN,DCE,52.3
10,10, (C6F5)CH(CN)COOEt,DCE,52.5
11,11, (4-Cl-C6F4)CH(CN)COOEt,DCE,52.2
12,12, (2-C10F7)CH(CN)COOEt,DCE,52.0
13,13, (4-CF3-C6F4)CH(CN)COOEt,DCE,50.6
14,14, (4-NC5F4)(C6F5)CHCN,DCE,50.5
15,15, (4-NC5F4)CH(CN)COOEt,DCE,49.4
16,16, 3-CF3-C6H4CH(CN)2,DCE,49.0
17,17, (CF3)5C6CH(CN)COOEt,DCE,47.8
18,18, 4-H-C6F4CH(CN)2,DCE,47.5
19,19, (4-NC5F4)2CHCN,DCE,47.3
20,20, 2-C10F7CH(CN)2,DCE,46.3
21,21, Bromothymol blue,DCE,46.1
22,22, Bromocresol green,DCE,45.2
23,23, Picric acid,DCE,45.0
24,24, HCl,DCE,45.2
25,25," 2,3,4,6-(CF3)4-C6HCH(CN)2",DCE,44.2
26,26, 4-CF3-C6F4CH(CN)2,DCE,44.2
27,27, Styphnic acid,DCE,44.1
28,28, 4-NO2-C6H4SO2NHTos,DCE,43.3
29,29, HNO3,DCE,43.6
30,30, 4-NO2-C6H4SO2NHSO2C6H4-4-Cl,DCE,42.4
31,31, H2SO4,DCE,42.8
32,32, C6(CF3)5CH(CN)2,DCE,42.2
33,33, (4-NO2-C6H4-SO2)2NH,DCE,41.1
34,34, 3-NO2-4-Cl-C6H3SO2NHSO2C6H4-4-NO2,DCE,40.7
35,35, (3-NO2-4-Cl-C6H3SO2)2NH,DCE,40.4
36,36, HBr,DCE,40.6
37,37, 4-NO2-C6H4SO2CH(CN)2,DCE,39.9
38,38," 2,4,6-(SO2F)3-Phenol",DCE,39.0
39,39," 2,4,6-Tf3-Phenol",DCE,38.4
40,40, CH(CN)3,DCE,38.6
41,41, 4-Cl-C6H4SO(=NTf)NHTos,DCE,38.0
42,42, NH2-TCNP,DCE,38.2
43,43," 2,3,5-tricyanocyclopentadiene",DCE,38.0
44,44, Pentacyanophenol,DCE,37.5
45,45, 4-Cl-C6H4SO(=NTf)NHSO2C6H4-4-Cl,DCE,37.1
46,46, HI,DCE,37.7
47,47, 4-NO2-C6H4SO2NHTf,DCE,37.1
48,48, Me-TCNP,DCE,36.4
49,49," 3,4-(MeO)2-C6H3-TCNP",DCE,36.1
50,50, 4-MeO-C6H4-TCNP,DCE,36.1
51,51, C(CN)2=C(CN)OH,DCE,36.3
52,52, 4-Cl-C6H4SO(=NTf)NHSO2C6H4-NO2,DCE,35.9
53,53," 2,4-(NO2)2-C6H3SO2OH",DCE,36.0
54,54, C6F5CH(Tf)2,DCE,35.9
55,55, HB(CN)(CF3)3,DCE,35.7
56,56, Ph-TCNP,DCE,35.5
57,57, HBF4,DCE,35.0
58,58, FSO2OH,DCE,34.7
59,59, 3-CF3-C6H4-TCNP,DCE,34.3
60,60, H-TCNP,DCE,34.3
61,61, [C6H5SO(=NTf)]2NH,DCE,33.6
62,62, [(C2F5)2PO]2NH,DCE,33.5
63,63," 2,4,6-(NO2)3-C6H2SO2OH",DCE,33.6
64,64, [C(CN)2=C(CN)]2CH2,DCE,33.5
65,65, TfOH,DCE,33.7
66,66, C6H5SO(=NTf)NHTf,DCE,33.3
67,67, TfCH(CN)2,DCE,33.5
68,68, Br-TCNP,DCE,33.2
69,69, [C(CN)2=C(CN)]2NH,DCE,33.0
70,70," 3,5-(CF3)5-C6H3-TCNP",DCE,33.0
71,71, Tf2NH,DCE,33.0
72,72, 4-Cl-C6H4SO(=NTf)NHTf,DCE,32.7
73,73, Cl-TCNP,DCE,32.9
74,74, (C3F7SO2)2NH,DCE,32.7
75,75, (C4F9SO2)2NH,DCE,32.6
76,76, CN-CH2-TCNP,DCE,32.6
77,77, (C2F5SO2)2NH,DCE,32.6
78,78, CF3-TCNP,DCE,32.2
79,79, HClO4,DCE,32.2
80,80, CF2(CF2SO2)2NH,DCE,31.9
81,81, 4-NO2-C6H4SO(=NTf)NHTf,DCE,31.7
82,82, HB(CN)4,DCE,31.7
83,83, (FSO2)3CH,DCE,31.4
84,84, Tf2CH(CN),DCE,30.0
85,85," 2,3,4,5-tetracyanocyclopentadiene",DCE,29.9
86,86, CN-TCNP,DCE,29.7
